Name,ID,Department,Age,Check-In Time,Check-Out Time,Schedule Starting Hour,Schedule Ending Hour,Status,Date,Early Check-In,Late Check-In,Early Check-Out,Late Check-Out
Rodney Martin PhD,6415,Data,58,8:20:00,16:33:00,9:00:00,17:00:00,Present,30/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:20:00,16:33:00,9:00:00,17:00:00,Present,31/01/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:09:00,16:38:00,9:00:00,17:00:00,Present,01/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:09:00,16:38:00,9:00:00,17:00:00,Present,02/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:25:00,16:36:00,9:00:00,17:00:00,Present,03/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:25:00,16:36:00,9:00:00,17:00:00,Present,04/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:59:00,16:27:00,9:00:00,17:00:00,Present,05/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,06/02/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,07/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,08/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,09/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,10/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:15:00,17:14:00,9:00:00,17:00:00,Present,11/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:56:00,16:04:00,9:00:00,17:00:00,Present,12/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:26:00,17:32:00,9:00:00,17:00:00,Present,13/02/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:26:00,17:32:00,9:00:00,17:00:00,Present,14/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:26:00,17:32:00,9:00:00,17:00:00,Present,15/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:06:00,16:17:00,9:00:00,17:00:00,Present,16/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:39:00,17:36:00,9:00:00,17:00:00,Present,17/02/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:39:00,17:36:00,9:00:00,17:00:00,Present,18/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:39:00,17:36:00,9:00:00,17:00:00,Present,19/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:30:00,16:51:00,9:00:00,17:00:00,Present,20/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:48:00,16:30:00,9:00:00,17:00:00,Present,21/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:52:00,16:53:00,9:00:00,17:00:00,Present,22/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:12:00,16:54:00,9:00:00,17:00:00,Present,23/02/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:12:00,16:54:00,9:00:00,17:00:00,Present,24/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:13:00,17:53:00,9:00:00,17:00:00,Present,25/02/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:24:00,16:59:00,9:00:00,17:00:00,Present,26/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:52:00,17:21:00,9:00:00,17:00:00,Present,27/02/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:52:00,17:21:00,9:00:00,17:00:00,Present,28/02/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:14:00,17:07:00,9:00:00,17:00:00,Present,01/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:14:00,17:07:00,9:00:00,17:00:00,Present,02/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:58:00,17:58:00,9:00:00,17:00:00,Present,03/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:58:00,17:58:00,9:00:00,17:00:00,Present,04/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:58:00,17:58:00,9:00:00,17:00:00,Present,05/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:58:00,17:58:00,9:00:00,17:00:00,Present,06/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:36:00,17:17:00,9:00:00,17:00:00,Present,07/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:36:00,17:17:00,9:00:00,17:00:00,Present,08/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:47:00,17:51:00,9:00:00,17:00:00,Present,09/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:47:00,17:51:00,9:00:00,17:00:00,Present,10/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:56:00,17:13:00,9:00:00,17:00:00,Present,11/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:56:00,17:13:00,9:00:00,17:00:00,Present,12/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:30:00,16:39:00,9:00:00,17:00:00,Present,13/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:52:00,17:21:00,9:00:00,17:00:00,Present,14/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:52:00,17:21:00,9:00:00,17:00:00,Present,15/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:33:00,17:24:00,9:00:00,17:00:00,Present,16/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:33:00,17:24:00,9:00:00,17:00:00,Present,17/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:33:00,17:24:00,9:00:00,17:00:00,Present,18/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:40:00,17:40:00,9:00:00,17:00:00,Present,19/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:15:00,17:41:00,9:00:00,17:00:00,Present,20/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:47:00,16:03:00,9:00:00,17:00:00,Present,21/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:25:00,16:50:00,9:00:00,17:00:00,Present,22/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:49:00,17:49:00,9:00:00,17:00:00,Present,23/03/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:37:00,17:09:00,9:00:00,17:00:00,Present,24/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:37:00,17:09:00,9:00:00,17:00:00,Present,25/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:37:00,17:09:00,9:00:00,17:00:00,Present,26/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:51:00,17:20:00,9:00:00,17:00:00,Present,27/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:54:00,16:06:00,9:00:00,17:00:00,Present,28/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:54:00,16:06:00,9:00:00,17:00:00,Present,29/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:57:00,17:47:00,9:00:00,17:00:00,Present,30/03/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:57:00,17:47:00,9:00:00,17:00:00,Present,31/03/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:57:00,17:47:00,9:00:00,17:00:00,Present,01/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:57:00,17:47:00,9:00:00,17:00:00,Present,02/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:45:00,16:14:00,9:00:00,17:00:00,Present,03/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:45:00,16:14:00,9:00:00,17:00:00,Present,04/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:35:00,17:05:00,9:00:00,17:00:00,Present,05/04/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:15:00,16:12:00,9:00:00,17:00:00,Present,06/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,16:12:00,9:00:00,17:00:00,Present,07/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,16:12:00,9:00:00,17:00:00,Present,08/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,16:12:00,9:00:00,17:00:00,Present,09/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,16:12:00,9:00:00,17:00:00,Present,10/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:07:00,16:52:00,9:00:00,17:00:00,Present,11/04/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,16:39:00,9:00:00,17:00:00,Present,12/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,16:39:00,9:00:00,17:00:00,Present,13/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,14/04/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,15/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,16/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,17/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,18/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,19/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,20/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:24:00,17:39:00,9:00:00,17:00:00,Present,21/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:32:00,16:38:00,9:00:00,17:00:00,Present,22/04/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:26:00,17:48:00,9:00:00,17:00:00,Present,23/04/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:18:00,16:37:00,9:00:00,17:00:00,Present,24/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:04:00,17:25:00,9:00:00,17:00:00,Present,25/04/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:57:00,17:20:00,9:00:00,17:00:00,Present,26/04/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:26:00,16:14:00,9:00:00,17:00:00,Present,27/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:55:00,17:45:00,9:00:00,17:00:00,Present,28/04/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:55:00,17:45:00,9:00:00,17:00:00,Present,29/04/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:54:00,16:50:00,9:00:00,17:00:00,Present,30/04/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:54:00,16:50:00,9:00:00,17:00:00,Present,01/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:54:00,16:50:00,9:00:00,17:00:00,Present,02/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:21:00,17:08:00,9:00:00,17:00:00,Present,03/05/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:38:00,17:56:00,9:00:00,17:00:00,Present,04/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:13:00,16:09:00,9:00:00,17:00:00,Present,05/05/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:13:00,16:09:00,9:00:00,17:00:00,Present,06/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:13:00,16:09:00,9:00:00,17:00:00,Present,07/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:13:00,16:09:00,9:00:00,17:00:00,Present,08/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:50:00,16:02:00,9:00:00,17:00:00,Present,09/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:45:00,16:33:00,9:00:00,17:00:00,Present,10/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:35:00,16:25:00,9:00:00,17:00:00,Present,11/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:20:00,17:25:00,9:00:00,17:00:00,Present,12/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:20:00,17:25:00,9:00:00,17:00:00,Present,13/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:16:00,17:58:00,9:00:00,17:00:00,Present,14/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:17:00,16:46:00,9:00:00,17:00:00,Present,15/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:17:00,16:46:00,9:00:00,17:00:00,Present,16/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:17:00,16:46:00,9:00:00,17:00:00,Present,17/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:05:00,17:59:00,9:00:00,17:00:00,Present,18/05/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:16:00,17:34:00,9:00:00,17:00:00,Present,19/05/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:27:00,16:06:00,9:00:00,17:00:00,Present,20/05/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:31:00,17:54:00,9:00:00,17:00:00,Present,21/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:31:00,17:54:00,9:00:00,17:00:00,Present,22/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:31:00,17:54:00,9:00:00,17:00:00,Present,23/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:33:00,16:36:00,9:00:00,17:00:00,Present,24/05/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:55:00,17:48:00,9:00:00,17:00:00,Present,25/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:55:00,17:48:00,9:00:00,17:00:00,Present,26/05/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:55:00,17:57:00,9:00:00,17:00:00,Present,27/05/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:25:00,16:22:00,9:00:00,17:00:00,Present,28/05/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:50:00,17:50:00,9:00:00,17:00:00,Present,29/05/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:22:00,16:16:00,9:00:00,17:00:00,Present,30/05/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:59:00,17:07:00,9:00:00,17:00:00,Present,31/05/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:59:00,17:07:00,9:00:00,17:00:00,Present,01/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:59:00,17:07:00,9:00:00,17:00:00,Present,02/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:59:00,17:07:00,9:00:00,17:00:00,Present,03/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:01:00,17:06:00,9:00:00,17:00:00,Present,04/06/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:00:00,16:33:00,9:00:00,17:00:00,Present,05/06/2023,FALSE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:00:00,16:33:00,9:00:00,17:00:00,Present,06/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:00:00,16:33:00,9:00:00,17:00:00,Present,07/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:00:00,16:33:00,9:00:00,17:00:00,Present,08/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:25:00,17:17:00,9:00:00,17:00:00,Present,09/06/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:19:00,16:08:00,9:00:00,17:00:00,Present,10/06/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:45:00,17:15:00,9:00:00,17:00:00,Present,11/06/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:45:00,17:15:00,9:00:00,17:00:00,Present,12/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:47:00,17:52:00,9:00:00,17:00:00,Present,13/06/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:10:00,16:50:00,9:00:00,17:00:00,Present,14/06/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:10:00,16:50:00,9:00:00,17:00:00,Present,15/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:13:00,17:57:00,9:00:00,17:00:00,Present,16/06/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:27:00,16:53:00,9:00:00,17:00:00,Present,17/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,17:40:00,9:00:00,17:00:00,Present,18/06/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:15:00,17:40:00,9:00:00,17:00:00,Present,19/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,17:40:00,9:00:00,17:00:00,Present,20/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:13:00,16:59:00,9:00:00,17:00:00,Present,21/06/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:22:00,16:40:00,9:00:00,17:00:00,Present,22/06/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,16:07:00,9:00:00,17:00:00,Present,23/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:57:00,16:53:00,9:00:00,17:00:00,Present,24/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:57:00,16:53:00,9:00:00,17:00:00,Present,25/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:43:00,17:03:00,9:00:00,17:00:00,Present,26/06/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:43:00,17:03:00,9:00:00,17:00:00,Present,27/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:43:00,17:03:00,9:00:00,17:00:00,Present,28/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:43:00,17:03:00,9:00:00,17:00:00,Present,29/06/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:47:00,16:02:00,9:00:00,17:00:00,Present,30/06/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:19:00,17:26:00,9:00:00,17:00:00,Present,01/07/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,9:20:00,16:04:00,9:00:00,17:00:00,Present,02/07/2023,FALSE,TRUE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:20:00,16:04:00,9:00:00,17:00:00,Present,03/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:20:00,16:04:00,9:00:00,17:00:00,Present,04/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:20:00,16:04:00,9:00:00,17:00:00,Present,05/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:20:00,16:04:00,9:00:00,17:00:00,Present,06/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,9:46:00,17:59:00,9:00:00,17:00:00,Present,07/07/2023,FALSE,TRUE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:15:00,16:27:00,9:00:00,17:00:00,Present,08/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:15:00,16:27:00,9:00:00,17:00:00,Present,09/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,17:08:00,9:00:00,17:00:00,Present,10/07/2023,TRUE,FALSE,FALSE,TRUE
Rodney Martin PhD,6415,Data,58,8:00:00,17:08:00,9:00:00,17:00:00,Present,11/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,17:08:00,9:00:00,17:00:00,Present,12/07/2023,TRUE,FALSE,TRUE,FALSE
Rodney Martin PhD,6415,Data,58,8:00:00,17:08:00,9:00:00,17:00:00,Present,13/07/2023,TRUE,FALSE,TRUE,FALSE
